skill,primary_category,categories,description,source_site,source_repo,category_count,duplicated_across_categories
gitlab-ci-patterns,Performance,"['Performance', 'Tooling']","Build GitLab CI/CD pipelines with multi-stage workflows, caching, and distributed runners for scalable automation. Use when implementing GitLab CI/CD, optimizing pipeline performance, or setting up automated testing and deployment.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
hybrid-cloud-networking,Performance,['Performance'],"Configure secure, high-performance connectivity between on-premises infrastructure and cloud platforms using VPN and dedicated connections. Use when building hybrid cloud architectures, connecting data centers to cloud, or implementing secure cross-premises networking.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
ray-train,Performance,['Performance'],"Distributed training orchestration across clusters. Scales PyTorch/TensorFlow/HuggingFace from laptop to 1000s of nodes. Built-in hyperparameter tuning with Ray Tune, fault tolerance, elastic scaling. Use when training massive models across multiple machines or running distributed hyperparameter sweeps.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
senior-backend,Performance,['Performance'],"Comprehensive backend development skill for building scalable backend systems using NodeJS, Express, Go, Python, Postgres, GraphQL, REST APIs. Includes API scaffolding, database optimization, security implementation, and performance tuning. Use when designing APIs, optimizing database queries, implementing business logic, handling authentication/authorization, or reviewing backend code.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
senior-ml-engineer,Performance,['Performance'],"World-class ML engineering skill for productionizing ML models, MLOps, and building scalable ML systems. Expertise in PyTorch, TensorFlow, model deployment, feature stores, model monitoring, and ML infrastructure. Includes LLM integration, fine-tuning, RAG systems, and agentic AI. Use when deploying ML models, building ML platforms, implementing MLOps, or integrating LLMs into production systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
auditing-access-control,Security,['Security'],"Audit access control implementations for security vulnerabilities and misconfigurations. Use when reviewing authentication and authorization. Trigger with 'audit access control', 'check permissions', or 'validate authorization'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
checking-owasp-compliance,Security,['Security'],"Check compliance with OWASP Top 10 security risks and best practices. Use when performing comprehensive security audits. Trigger with 'check OWASP compliance', 'audit web security', or 'validate OWASP'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
clerk-observability,Security,['Security'],"Implement monitoring, logging, and observability for Clerk authentication. Use when setting up monitoring, debugging auth issues in production, or implementing audit logging. Trigger with phrases like ""clerk monitoring"", ""clerk logging"", ""clerk observability"", ""clerk metrics"", ""clerk audit log"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
deployment-pipeline-design,Security,['Security'],"Design multi-stage CI/CD pipelines with approval gates, security checks, and deployment orchestration. Use when architecting deployment workflows, setting up continuous delivery, or implementing GitOps practices.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
encrypting-and-decrypting-data,Security,['Security'],"Validate encryption implementations and cryptographic practices. Use when reviewing data security measures. Trigger with 'check encryption', 'validate crypto', or 'review security keys'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
llvm-obfuscation,Security,['Security'],"Expertise in LLVM-based code obfuscation techniques including OLLVM, control flow flattening, string encryption, virtualization, and anti-analysis methods. Use this skill when working on code protection, anti-reverse engineering, or implementing custom obfuscation passes.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
pentest-checklist,Security,['Security'],"This skill should be used when the user asks to ""plan a penetration test"", ""create a security assessment checklist"", ""prepare for penetration testing"", ""define pentest scope"", ""follow security testing best practices"", or needs a structured methodology for penetration testing engagements.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
performing-penetration-testing,Security,['Security'],"Perform security penetration testing to identify vulnerabilities. Use when conducting security assessments. Trigger with 'run pentest', 'security testing', or 'find vulnerabilities'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
ton-vulnerability-scanner,Security,['Security'],"Scans TON (The Open Network) smart contracts for 3 critical vulnerabilities including integer-as-boolean misuse, fake Jetton contracts, and forward TON without gas checks. Use when auditing FunC contracts. (project, gitignored)",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
wordpress-penetration-testing,Security,['Security'],"This skill should be used when the user asks to ""pentest WordPress sites"", ""scan WordPress for vulnerabilities"", ""enumerate WordPress users, themes, or plugins"", ""exploit WordPress vulnerabilities"", or ""use WPScan"". It provides comprehensive WordPress security assessment methodologies.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
changelog-orchestrator,Testing & QA,['Testing & QA'],"Draft changelog PRs by collecting GitHub/Slack/Git changes, formatting with templates, running quality gates, and preparing a branch/PR. Use when generating weekly/monthly release notes or when the user asks to create a changelog from recent merges. Trigger with ""changelog weekly"", ""generate release notes"", ""draft changelog"", ""create changelog PR"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
evaluating-code-models,Testing & QA,"['Observability', 'Testing & QA']","Evaluates code generation models across HumanEval, MBPP, MultiPL-E, and 15+ benchmarks with pass@k metrics. Use when benchmarking code models, comparing coding abilities, testing multi-language support, or measuring code generation quality. Industry standard from BigCode Project used by HuggingFace leaderboards.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
it-operations,Testing & QA,"['Observability', 'Testing & QA']","Manages IT infrastructure, monitoring, incident response, and service reliability. Provides frameworks for ITIL service management, observability strategies, automation, backup/recovery, capacity planning, and operational excellence practices.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,2,True
lint-and-validate,Testing & QA,['Testing & QA'],"Automatic quality control, linting, and static analysis procedures. Use after every code modification to ensure syntax correctness and project standards. Triggers onKeywords: lint, format, check, validate, types, static analysis.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
oping,Testing & QA,['Testing & QA'],"Test connectivity with OpenCode (shorthand: oc) using the oping CLI. Use when the user explicitly asks to check OpenCode/oc status or connectivity (e.g., “oc ping”, “oc is it alive?”, “is OpenCode connected?”), or when troubleshooting cases where OpenCode is not responding.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
qlty-check,Testing & QA,['Testing & QA'],"Code quality checks, formatting, and metrics via qlty CLI",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
qms-audit-expert,Testing & QA,['Testing & QA'],"Senior QMS Audit Expert for internal and external quality management system auditing. Provides ISO 13485 audit expertise, audit program management, nonconformity identification, and corrective action verification. Use for internal audit planning, external audit preparation, audit execution, and audit follow-up activities.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
resolve-conflicts,Testing & QA,['Testing & QA'],"Use this skill immediately when the user mentions merge conflicts that need to be resolved. Do not attempt to resolve conflicts directly - invoke this skill first. This skill specializes in providing a structured framework for merging imports, tests, lock files (regeneration), configuration files, and handling deleted-but-modified files with backup and analysis.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
simplify,Testing & QA,['Testing & QA'],"Refactor code after tests pass. The ""Refactor"" phase of Red-Green-Refactor.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
tdd-workflow,Testing & QA,['Testing & QA'],"Use this skill when writing new features, fixing bugs, or refactoring code. Enforce test-driven development (TDD), including unit tests, integration tests, and end-to-end (E2E) tests, ensuring test coverage exceeds 80%.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
incident-runbook-templates,Tooling,['Tooling'],"Create structured incident response runbooks with step-by-step procedures, escalation paths, and recovery actions. Use when building runbooks, responding to incidents, or establishing incident response procedures.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
javascript-testing-patterns,Tooling,['Tooling'],"Implement comprehensive testing strategies using Jest, Vitest, and Testing Library for unit tests, integration tests, and end-to-end testing with mocking, fixtures, and test-driven development. Use when writing JavaScript/TypeScript tests, setting up test infrastructure, or implementing TDD/BDD workflows.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
wox-plugin-creator,Tooling,['Tooling'],"Create and scaffold Wox plugins (nodejs, python, script-nodejs, script-python). Use when cloning official SDK templates, generating script plugin templates, or preparing plugins for publish.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills,1,False
